modelo,perfil,retorno_promedio,drawdown_promedio,tasa_aceptacion,tasa_abandono,peor_retorno,score_sin_mae
BL 126/21,arriesgado,0.18495714285714285,0.08948571428571428,0.5476142857142857,0.0,-0.0105,0.1402142857142857
BL 126/21,conservador,-0.00837142857142857,0.06412857142857144,0.6857142857142857,0.7142857142857143,-0.3353,-0.25472142857142854
BL 126/21,muy_arriesgado,0.2311142857142857,0.11477142857142857,0.5237999999999999,0.0,-0.0414,0.1737285714285714
BL 126/21,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
BL 126/21,neutro,0.04065714285714286,0.09382857142857141,0.5714428571428571,0.2857142857142857,-0.6385,-0.09197142857142855
BL actual,arriesgado,0.1591857142857143,0.09457142857142857,0.7857142857142857,0.0,-0.031,0.1119
BL actual,conservador,-0.009071428571428567,0.06432857142857143,0.7428571428571429,0.7142857142857143,-0.3353,-0.25552142857142857
BL actual,muy_arriesgado,0.1801142857142857,0.10291428571428571,0.8095142857142857,0.0,-0.002,0.12865714285714286
BL actual,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
BL actual,neutro,0.03454285714285714,0.09511428571428572,0.5595285714285715,0.2857142857142857,-0.6459,-0.09872857142857142
Hybrid 35F/65A,arriesgado,0.19077142857142856,0.09347142857142857,0.48810000000000003,0.0,-0.0756,0.14403571428571427
Hybrid 35F/65A,conservador,-0.009257142857142856,0.06420000000000001,0.7690428571428571,0.7142857142857143,-0.3353,-0.2556428571428571
Hybrid 35F/65A,muy_arriesgado,0.23154285714285713,0.12105714285714286,0.45239999999999997,0.0,-0.1041,0.1710142857142857
Hybrid 35F/65A,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
Hybrid 35F/65A,neutro,0.03902857142857143,0.0959,0.6468142857142858,0.2857142857142857,-0.6476,-0.09463571428571427
Hybrid 50F/50A,arriesgado,0.19137142857142855,0.09424285714285714,0.4523857142857143,0.0,-0.0883,0.14425
Hybrid 50F/50A,conservador,-0.0089,0.06420000000000001,0.8452428571428571,0.7142857142857143,-0.3353,-0.2552857142857143
Hybrid 50F/50A,muy_arriesgado,0.23981428571428573,0.12112857142857143,0.45239999999999997,0.0,-0.1189,0.17925000000000002
Hybrid 50F/50A,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
Hybrid 50F/50A,neutro,0.038242857142857155,0.09729999999999998,0.6746,0.2857142857142857,-0.6513,-0.09612142857142854
Hybrid 65F/35A,arriesgado,0.1988714285714286,0.10081428571428572,0.4642857142857143,0.0,-0.1026,0.14846428571428572
Hybrid 65F/35A,conservador,-0.00731428571428571,0.06317142857142857,0.8857142857142858,0.7142857142857143,-0.3353,-0.2531857142857143
Hybrid 65F/35A,muy_arriesgado,0.2371,0.12219999999999999,0.4404857142857143,0.0,-0.1343,0.17600000000000002
Hybrid 65F/35A,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
Hybrid 65F/35A,neutro,0.039585714285714294,0.09714285714285713,0.6984142857142857,0.2857142857142857,-0.6484,-0.09469999999999998
Sin BL,arriesgado,0.176,0.11247142857142857,0.9285714285714286,0.0,-0.2206,0.11976428571428571
Sin BL,conservador,-0.006914285714285714,0.06265714285714286,1.0,0.7142857142857143,-0.3353,-0.25252857142857144
Sin BL,muy_arriesgado,0.23561428571428572,0.13607142857142857,0.9404857142857143,0.0,-0.2893,0.16757857142857144
Sin BL,muy_conservador,-0.0091,0.0,0.3333,0.0,-0.0091,-0.0091
Sin BL,neutro,0.046685714285714296,0.09522857142857144,1.0,0.2857142857142857,-0.6272,-0.08664285714285713
