caso,anio,periodo_inicio,periodo_fin,perfil,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
lambda_0,2019,2019-01-01,2019-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2019,2019-01-01,2019-12-31,conservador,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
lambda_0,2019,2019-01-01,2019-12-31,neutro,0.1619,0.0672,2.4099,0.0248,12,False,11224.13,0.9167,0.0002
lambda_0,2019,2019-01-01,2019-12-31,arriesgado,0.2347,0.1554,1.5106,0.0994,12,False,12211.88,1.0,0.0
lambda_0,2019,2019-01-01,2019-12-31,muy_arriesgado,0.2569,0.1956,1.3132,0.1372,12,False,12589.33,1.0,0.0
lambda_0,2020,2020-01-01,2020-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2020,2020-01-01,2020-12-31,conservador,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
lambda_0,2020,2020-01-01,2020-12-31,neutro,-0.6376,0.2612,-2.441,0.2449,3,True,2301.27,1.0,0.0
lambda_0,2020,2020-01-01,2020-12-31,arriesgado,0.247,0.2657,0.9296,0.2166,12,False,10466.54,1.0,0.0
lambda_0,2020,2020-01-01,2020-12-31,muy_arriesgado,0.4697,0.3017,1.5569,0.1968,12,False,11453.51,1.0,0.0
lambda_0,2021,2021-01-01,2021-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2021,2021-01-01,2021-12-31,conservador,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
lambda_0,2021,2021-01-01,2021-12-31,neutro,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
lambda_0,2021,2021-01-01,2021-12-31,arriesgado,0.2553,0.181,1.4106,0.0964,12,False,11822.38,1.0,0.0
lambda_0,2021,2021-01-01,2021-12-31,muy_arriesgado,0.1705,0.243,0.7016,0.1597,12,False,11593.44,1.0,0.0
lambda_0,2022,2022-01-01,2022-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2022,2022-01-01,2022-12-31,conservador,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
lambda_0,2022,2022-01-01,2022-12-31,neutro,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
lambda_0,2022,2022-01-01,2022-12-31,arriesgado,-0.0169,0.1379,-0.1223,0.1566,12,False,9618.54,0.9167,0.0003
lambda_0,2022,2022-01-01,2022-12-31,muy_arriesgado,-0.0089,0.1686,-0.0528,0.1682,12,False,9501.27,1.0,0.0
lambda_0,2023,2023-01-01,2023-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2023,2023-01-01,2023-12-31,conservador,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
lambda_0,2023,2023-01-01,2023-12-31,neutro,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
lambda_0,2023,2023-01-01,2023-12-31,arriesgado,0.0779,0.0868,0.8969,0.0362,12,False,10150.77,0.4167,0.0024
lambda_0,2023,2023-01-01,2023-12-31,muy_arriesgado,0.071,0.1332,0.5327,0.0673,12,False,10199.22,0.9167,0.0001
lambda_0,2024,2024-01-01,2024-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2024,2024-01-01,2024-12-31,conservador,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
lambda_0,2024,2024-01-01,2024-12-31,neutro,0.2814,0.1002,2.8074,0.0331,12,False,11438.71,0.75,0.0008
lambda_0,2024,2024-01-01,2024-12-31,arriesgado,0.2445,0.142,1.7224,0.0497,12,False,12398.27,0.9167,0.0002
lambda_0,2024,2024-01-01,2024-12-31,muy_arriesgado,0.266,0.1848,1.4391,0.07,12,False,13015.07,1.0,0.0
lambda_0,2025,2025-01-01,2025-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_0,2025,2025-01-01,2025-12-31,conservador,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
lambda_0,2025,2025-01-01,2025-12-31,neutro,0.0999,0.0658,1.5174,0.0348,12,False,10676.87,1.0,0.0
lambda_0,2025,2025-01-01,2025-12-31,arriesgado,-0.0846,0.1492,-0.5669,0.1809,12,False,9721.12,1.0,0.0
lambda_0,2025,2025-01-01,2025-12-31,muy_arriesgado,-0.1299,0.2048,-0.6341,0.2504,12,False,9329.58,1.0,0.0
lambda_0,2026,2026-01-01,2026-03-13,muy_conservador,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
lambda_0,2026,2026-01-01,2026-03-13,conservador,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
lambda_0,2026,2026-01-01,2026-03-13,neutro,0.0843,0.1468,0.5745,0.0185,3,False,2644.44,1.0,0.0
lambda_0,2026,2026-01-01,2026-03-13,arriesgado,-0.1163,0.1781,-0.6528,0.0618,3,False,2772.08,1.0,0.0
lambda_0,2026,2026-01-01,2026-03-13,muy_arriesgado,-0.1525,0.2152,-0.7083,0.0881,3,False,2897.98,1.0,0.0
