perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,modelo,use_bl,bl_method,conf_base,lookback,skip,train_years,max_weight
conservador,72,0.042341,0.05471,-0.001759,0.6528,1.0,295.0,-0.1655,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.05
muy_arriesgado,72,0.049787,0.063171,0.022184,0.6389,1.0,232.29,0.0137,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.05
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.05
neutro,72,0.039058,0.052884,0.000665,0.6528,1.0,282.14,-0.3275,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.05
arriesgado,72,0.038712,0.049133,0.017404,0.6111,1.0,186.24,0.0067,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.1
conservador,72,0.042341,0.05471,-0.001759,0.6528,1.0,295.0,-0.1655,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.1
muy_arriesgado,72,0.048494,0.061874,0.023124,0.6528,1.0,208.81,-0.0164,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.1
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.1
neutro,72,0.03902,0.052869,0.00072,0.6528,1.0,270.32,-0.33,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.1
arriesgado,72,0.038712,0.048833,0.017162,0.625,1.0,182.11,0.0031,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.15
conservador,72,0.042341,0.05471,-0.001759,0.6528,1.0,295.0,-0.1655,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.15
muy_arriesgado,72,0.04792,0.061359,0.022894,0.6667,1.0,179.11,-0.0126,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.15
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.15
neutro,72,0.039017,0.052863,0.000724,0.6528,1.0,273.33,-0.3303,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.15
arriesgado,72,0.038641,0.048676,0.017082,0.6389,1.0,170.6,0.0023,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.2
conservador,72,0.042341,0.05471,-0.001759,0.6528,1.0,295.0,-0.1655,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.2
muy_arriesgado,72,0.047949,0.061325,0.022648,0.6528,1.0,162.64,-0.0171,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.2
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.2
neutro,72,0.039021,0.052866,0.000728,0.6528,1.0,263.67,-0.3304,sin_bl,False,robust_factor_hybrid,1.0,126,21,5,0.2
