perfil,retorno_anual,retorno_mensual_prom,vol_mensual,max_drawdown,meses_activos,abandono,aceptacion_rebalanceo,caja_chica_promedio
muy_conservador,-0.0098,-0.0008333333333333307,4.4487037958357503e-17,0.0,72,False,0.5416666666666666,1.0
conservador,0.095,0.010276664233054372,0.04535407733622179,0.0602,5,True,0.2,0.0051
neutro,-0.0675,-0.004687871501697971,0.054990502505460365,0.2452,15,True,0.9333333333333333,0.0001
arriesgado,0.1613,0.013799147711294944,0.04740231411504866,0.2167,72,False,0.9166666666666666,0.0005
muy_arriesgado,0.1973,0.01696638253333172,0.058603699213828055,0.2486,72,False,0.9861111111111112,0.0
