train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.05,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.05,2021,arriesgado,1.0,0.0,0.2466,0.1529,1.6122,0.0754,12,False,11760.94,1.0,0.0
5,0.05,2021,muy_arriesgado,1.0,0.0,0.1666,0.1771,0.9409,0.111,12,False,11490.03,1.0,0.0
5,0.05,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.05,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.05,2022,arriesgado,0.9238037177973376,0.0,-0.0051,0.1557,-0.0328,0.1437,12,False,9545.11,0.9167,0.0002
5,0.05,2022,muy_arriesgado,0.9162640560834618,0.0,0.0056,0.2073,0.027,0.1661,12,False,9334.54,0.9167,0.0003
5,0.05,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.05,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.05,2023,arriesgado,0.5181188100346508,0.0,0.0924,0.096,0.9625,0.053,12,False,10260.39,0.5833,0.0014
5,0.05,2023,muy_arriesgado,0.7883266206141654,0.0,0.1238,0.1255,0.986,0.0574,12,False,10332.21,0.75,0.0005
5,0.05,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.05,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
5,0.05,2024,arriesgado,0.9937972665600681,0.0,0.2755,0.1003,2.7478,0.0313,12,False,12346.87,1.0,0.0
5,0.05,2024,muy_arriesgado,0.9999999988143541,0.0,0.2837,0.1144,2.479,0.0398,12,False,12300.57,1.0,0.0
5,0.05,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.05,2025,neutro,0.4489671079370239,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.3333,0.0025
5,0.05,2025,arriesgado,0.9999999999999979,0.0,0.0449,0.1087,0.4132,0.1055,12,False,10383.65,1.0,0.0
5,0.05,2025,muy_arriesgado,0.9999999999978083,0.0,0.0171,0.1266,0.1354,0.1361,12,False,10167.7,1.0,0.0
5,0.1,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.1,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.1,2019,neutro,0.9614687380608835,0.0,0.1685,0.062,2.7153,0.0225,12,False,11276.52,0.9167,0.0002
5,0.1,2019,arriesgado,0.9999998887020581,0.0,0.2386,0.1461,1.6333,0.0859,12,False,12134.16,1.0,0.0
5,0.1,2019,muy_arriesgado,0.9999701827894558,0.0,0.2055,0.1382,1.4869,0.1002,12,False,12373.11,1.0,0.0
5,0.1,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
