periodo,modelo,perfil,retorno_promedio,drawdown_promedio,tasa_aceptacion,tasa_abandono,prob_aceptacion_promedio,prob_abandono_promedio,peor_retorno
no_pandemia,con_bl,arriesgado,0.171625,0.051250000000000004,0.75,0.0,0.7512503448719796,0.0,0.0638
no_pandemia,con_bl,conservador,0.10465,0.049325,0.55,0.5,0.5099200679203365,0.07507303301963217,-0.1139
no_pandemia,con_bl,muy_arriesgado,0.17715,0.05985,0.8125,0.0,0.8191596074317433,0.0,0.0956
no_pandemia,con_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091
no_pandemia,con_bl,neutro,0.18155,0.040425,0.45835,0.0,0.4657734093503975,0.0,0.1368
no_pandemia,sin_bl,arriesgado,0.1825,0.059300000000000005,0.895825,0.0,0.9133854417291485,0.0,0.0839
no_pandemia,sin_bl,conservador,0.10842500000000001,0.0464,1.0,0.5,0.99998152931985,0.06267475194511307,-0.1016
no_pandemia,sin_bl,muy_arriesgado,0.248675,0.071325,0.916675,0.0,0.912837236323824,0.0,0.1887
no_pandemia,sin_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091
no_pandemia,sin_bl,neutro,0.194625,0.042825,1.0,0.0,0.9873516000010195,0.0,0.1547
pandemia_2020_2022,con_bl,arriesgado,0.1426,0.15233333333333335,0.8333333333333334,0.0,0.831364057720536,0.0,-0.031
pandemia_2020_2022,con_bl,conservador,-0.16069999999999998,0.08433333333333333,1.0,1.0,0.9603724834041589,0.48626742815397456,-0.3353
pandemia_2020_2022,con_bl,muy_arriesgado,0.18406666666666668,0.16033333333333333,0.8055333333333333,0.0,0.8356883449390384,0.0,-0.002
pandemia_2020_2022,con_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091
pandemia_2020_2022,con_bl,neutro,-0.16146666666666668,0.16803333333333334,0.6944333333333333,0.6666666666666666,0.6988750863201075,0.16703178517296177,-0.6459
pandemia_2020_2022,sin_bl,arriesgado,0.16733333333333333,0.18336666666666668,0.9722333333333334,0.0,0.9957277631611277,0.0,-0.2206
pandemia_2020_2022,sin_bl,conservador,-0.16069999999999998,0.08433333333333333,1.0,1.0,0.9999961613023669,0.48626742815397456,-0.3353
pandemia_2020_2022,sin_bl,muy_arriesgado,0.21820000000000003,0.22240000000000001,0.9722333333333334,0.0,0.9969440536050387,0.0,-0.2893
pandemia_2020_2022,sin_bl,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091
pandemia_2020_2022,sin_bl,neutro,-0.15056666666666665,0.1651,1.0,0.6666666666666666,0.9983974803989657,0.16945322261350046,-0.6272
