modelo,bl_method,conf_base,lookback,skip,observaciones,mae,rmse,bias,hit_rate_signo,corr_pred_real
BL actual,asset_momentum,0.05,252,21,21240,0.077325,0.141914,-0.009603,0.5161,-0.0458
BL 126/21 conf2,asset_momentum,2.0,126,21,21240,0.076497,0.139304,-0.008047,0.5226,0.004
Robust factor conservative,robust_factor,2.0,126,21,21240,0.074478,0.137254,-0.007448,0.5632,0.0025
Robust factor balanced,robust_factor_balanced,1.0,126,21,21240,0.074875,0.137841,-0.004018,0.5565,-0.0045
Robust factor growth,robust_factor_growth,1.0,126,21,21240,0.074983,0.137869,-0.002157,0.5571,-0.0088
