max_weight,anio,periodo_inicio,periodo_fin,perfil,prob_aceptacion_prom,prob_abandono_prom,aceptacion_observada,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.15,2025,2025-01-01,2025-12-31,conservador,0.9932965819804731,0.0,1.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
0.15,2025,2025-01-01,2025-12-31,neutro,0.999958334038797,0.0,1.0,0.0999,0.0658,1.5174,0.0348,12,False,10676.87,1.0,0.0
0.15,2025,2025-01-01,2025-12-31,arriesgado,1.0,0.0,1.0,-0.0846,0.1492,-0.5669,0.1809,12,False,9721.12,1.0,0.0
0.15,2025,2025-01-01,2025-12-31,muy_arriesgado,1.0,0.0,1.0,-0.1299,0.2048,-0.6341,0.2504,12,False,9329.58,1.0,0.0
0.15,2026,2026-01-01,2026-03-13,muy_conservador,0.5,0.0,0.3333333333333333,-0.0066,0.0,0.0,0.0,3,False,2497.92,0.3333,1.0
0.15,2026,2026-01-01,2026-03-13,conservador,0.9791099136256022,0.0,1.0,-0.1012,0.1518,-0.6669,0.0453,3,False,2605.04,1.0,0.0
0.15,2026,2026-01-01,2026-03-13,neutro,0.999898976283263,0.0,1.0,0.0843,0.1468,0.5745,0.0185,3,False,2644.44,1.0,0.0
0.15,2026,2026-01-01,2026-03-13,arriesgado,1.0,0.0,1.0,-0.1163,0.1781,-0.6528,0.0618,3,False,2772.08,1.0,0.0
0.15,2026,2026-01-01,2026-03-13,muy_arriesgado,1.0,0.0,1.0,-0.1525,0.2152,-0.7083,0.0881,3,False,2897.98,1.0,0.0
0.2,2019,2019-01-01,2019-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2019,2019-01-01,2019-12-31,conservador,0.04185917739427872,0.1470060408610933,0.2,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
0.2,2019,2019-01-01,2019-12-31,neutro,0.9634102476846889,0.0,0.9166666666666666,0.1618,0.0671,2.4127,0.0248,12,False,11224.54,0.9167,0.0002
0.2,2019,2019-01-01,2019-12-31,arriesgado,0.9999999833643596,0.0,1.0,0.2233,0.1538,1.4519,0.1055,12,False,12177.94,1.0,0.0
0.2,2019,2019-01-01,2019-12-31,muy_arriesgado,0.9999999988183609,0.0,1.0,0.2318,0.2275,1.0189,0.1806,12,False,12652.55,1.0,0.0
0.2,2020,2020-01-01,2020-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2020,2020-01-01,2020-12-31,conservador,0.9997019803129688,0.49908947578195384,1.0,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
0.2,2020,2020-01-01,2020-12-31,neutro,0.9999999991820493,0.33330822545322436,1.0,-0.6376,0.2613,-2.4403,0.2449,3,True,2301.19,1.0,0.0
0.2,2020,2020-01-01,2020-12-31,arriesgado,0.9701044000332953,0.0,1.0,0.2464,0.2673,0.9221,0.2168,12,False,10429.82,1.0,0.0
0.2,2020,2020-01-01,2020-12-31,muy_arriesgado,0.9998576810004685,0.0,1.0,0.4727,0.3108,1.5208,0.1965,12,False,11397.59,1.0,0.0
0.2,2021,2021-01-01,2021-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.2,2021,2021-01-01,2021-12-31,conservador,0.883309124714499,0.5812485591598301,1.0,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
0.2,2021,2021-01-01,2021-12-31,neutro,0.7500539790941386,0.0,0.75,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
0.2,2021,2021-01-01,2021-12-31,arriesgado,1.0,0.0,1.0,0.2545,0.1807,1.4083,0.0962,12,False,11810.34,1.0,0.0
0.2,2021,2021-01-01,2021-12-31,muy_arriesgado,1.0,0.0,1.0,0.1588,0.2422,0.6557,0.1585,12,False,11553.26,1.0,0.0
0.2,2022,2022-01-01,2022-12-31,muy_conservador,0.5,0.0,0.3333333333333333,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
