modelo,max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,prob_abandono_promedio,prob_aceptacion_promedio,frecuencia_rebalanceo_promedio,meses_activos_promedio,mae,rmse,bias,hit_rate_signo,n_activos_promedio,score
hybrid_bl,0.2,arriesgado,0.18967142857142857,0.1942,0.11682857142857142,0.0,0.0,0.5861863696296282,0.5833428571428572,12.0,0.038667,0.047512,0.009779,0.5694,187.78,0.11192364285714285
hybrid_bl,0.2,conservador,-0.00731428571428571,0.0,0.06317142857142857,0.7142857142857143,0.24645331203435777,0.8948422627248103,0.8857142857142858,5.857142857142857,0.043254,0.054739,-0.004259,0.5972,295.0,-0.2748127142857143
hybrid_bl,0.2,muy_arriesgado,0.2078142857142857,0.2361,0.1450428571428571,0.0,0.0,0.6319424387142805,0.6190428571428571,12.0,0.048384,0.05961,0.013708,0.6389,188.92,0.11110085714285715
hybrid_bl,0.2,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
hybrid_bl,0.2,neutro,0.03512857142857144,0.1492,0.09878571428571428,0.2857142857142857,0.0725276174926077,0.6751670092293821,0.6865,10.285714285714286,0.03968,0.052939,-0.002372,0.625,278.86,-0.1198185714285714
sin_bl,0.01,arriesgado,0.1816,0.1859,0.10085714285714285,0.0,0.0,0.5366111621357476,0.5119,12.0,0.037237,0.047782,0.006829,0.6667,276.07,0.11255292857142858
sin_bl,0.01,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.01,muy_arriesgado,0.21487142857142857,0.2209,0.11767142857142857,0.0,0.0,0.30628970005272954,0.30952857142857143,12.0,0.043852,0.055906,0.009392,0.6667,285.74,0.13410971428571428
sin_bl,0.01,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
sin_bl,0.01,neutro,0.04875714285714287,0.2144,0.09922857142857143,0.2857142857142857,0.0726255674394648,0.8395900840781019,0.8095142857142857,10.285714285714286,0.041055,0.053544,-0.001481,0.6528,291.81,-0.10709892857142855
sin_bl,0.025,arriesgado,0.176,0.218,0.11247142857142857,0.0,0.0,0.9486750080571396,0.9285714285714286,12.0,0.039665,0.050495,0.013642,0.6528,273.75,0.09993178571428571
sin_bl,0.025,conservador,-0.006914285714285714,0.0,0.06265714285714286,0.7142857142857143,0.24421447032033947,0.9999878001695002,1.0,5.857142857142857,0.042341,0.05471,-0.001759,0.6528,295.0,-0.2736990714285714
sin_bl,0.025,muy_arriesgado,0.23561428571428572,0.2195,0.13607142857142857,0.0,0.0,0.9488830151586303,0.9404857142857143,12.0,0.050914,0.064178,0.015789,0.6528,248.19,0.14212157142857143
sin_bl,0.025,muy_conservador,-0.0091,-0.0091,0.0,0.0,0.0,0.5,0.3333,12.0,0.0,0.0,0.0,1.0,0.0,-0.0091
