cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
121,False,72,941740.98,-0.01,0.4583,58259.02
122,False,72,941740.98,-0.01,0.4861,58259.02
123,False,72,941740.98,-0.01,0.4861,58259.02
124,False,72,941740.98,-0.01,0.4306,58259.02
125,False,72,941740.98,-0.01,0.5,58259.02
126,False,72,941740.98,-0.01,0.5,58259.02
127,False,72,941740.98,-0.01,0.5556,58259.02
128,False,72,941740.98,-0.01,0.3611,58259.02
129,False,72,941740.98,-0.01,0.4861,58259.02
130,False,72,941740.98,-0.01,0.5417,58259.02
131,False,72,941740.98,-0.01,0.4444,58259.02
132,False,72,941740.98,-0.01,0.4444,58259.02
133,False,72,941740.98,-0.01,0.5139,58259.02
134,False,72,941740.98,-0.01,0.5278,58259.02
135,False,72,941740.98,-0.01,0.5694,58259.02
136,False,72,941740.98,-0.01,0.4583,58259.02
137,False,72,941740.98,-0.01,0.4306,58259.02
138,False,72,941740.98,-0.01,0.4167,58259.02
139,False,72,941740.98,-0.01,0.4861,58259.02
140,False,72,941740.98,-0.01,0.4444,58259.02
141,False,72,941740.98,-0.01,0.5278,58259.02
142,False,72,941740.98,-0.01,0.5,58259.02
143,False,72,941740.98,-0.01,0.4861,58259.02
144,False,72,941740.98,-0.01,0.4722,58259.02
145,False,72,941740.98,-0.01,0.7222,58259.02
146,False,72,941740.98,-0.01,0.4722,58259.02
147,False,72,941740.98,-0.01,0.5417,58259.02
148,False,72,941740.98,-0.01,0.5278,58259.02
149,False,72,941740.98,-0.01,0.375,58259.02
150,False,72,941740.98,-0.01,0.4444,58259.02
151,False,72,941740.98,-0.01,0.5278,58259.02
152,False,72,941740.98,-0.01,0.5833,58259.02
153,False,72,941740.98,-0.01,0.4583,58259.02
154,False,72,941740.98,-0.01,0.5694,58259.02
155,False,72,941740.98,-0.01,0.5139,58259.02
156,False,72,941740.98,-0.01,0.5694,58259.02
157,False,72,941740.98,-0.01,0.5417,58259.02
158,False,72,941740.98,-0.01,0.5417,58259.02
159,False,72,941740.98,-0.01,0.3056,58259.02
160,False,72,941740.98,-0.01,0.5278,58259.02
161,False,72,941740.98,-0.01,0.5278,58259.02
162,False,72,941740.98,-0.01,0.5278,58259.02
163,False,72,941740.98,-0.01,0.4722,58259.02
164,False,72,941740.98,-0.01,0.5278,58259.02
165,False,72,941740.98,-0.01,0.4444,58259.02
166,False,72,941740.98,-0.01,0.5,58259.02
167,False,72,941740.98,-0.01,0.4028,58259.02
168,False,72,941740.98,-0.01,0.5278,58259.02
169,False,72,941740.98,-0.01,0.5417,58259.02
170,False,72,941740.98,-0.01,0.4444,58259.02
171,False,72,941740.98,-0.01,0.5417,58259.02
172,False,72,941740.98,-0.01,0.4583,58259.02
173,False,72,941740.98,-0.01,0.4444,58259.02
174,False,72,941740.98,-0.01,0.4306,58259.02
175,False,72,941740.98,-0.01,0.4028,58259.02
176,False,72,941740.98,-0.01,0.5556,58259.02
177,False,72,941740.98,-0.01,0.4722,58259.02
178,False,72,941740.98,-0.01,0.5278,58259.02
179,False,72,941740.98,-0.01,0.4722,58259.02
180,False,72,941740.98,-0.01,0.5,58259.02
181,False,72,941740.98,-0.01,0.5556,58259.02
182,False,72,941740.98,-0.01,0.5139,58259.02
183,False,72,941740.98,-0.01,0.5833,58259.02
184,False,72,941740.98,-0.01,0.5,58259.02
185,False,72,941740.98,-0.01,0.5278,58259.02
