cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
120,True,15,979885.66,-0.0161,1.0,12864.48
121,True,16,998310.07,-0.0013,0.9375,13700.31
122,True,15,980147.27,-0.0159,0.9333,12867.69
123,True,15,979885.66,-0.0161,1.0,12864.48
124,True,43,974484.9,-0.0072,0.9302,37568.93
125,True,15,975730.86,-0.0195,0.9333,12817.13
126,True,15,979885.66,-0.0161,1.0,12864.48
127,True,15,979885.66,-0.0161,1.0,12864.48
128,True,15,979885.66,-0.0161,1.0,12864.48
129,True,15,979885.66,-0.0161,1.0,12864.48
130,True,15,979885.66,-0.0161,1.0,12864.48
131,True,15,975730.86,-0.0195,0.9333,12817.13
132,True,15,979885.66,-0.0161,1.0,12864.48
133,True,15,975730.86,-0.0195,0.9333,12817.13
134,True,16,998043.62,-0.0015,1.0,13696.88
135,True,15,979885.66,-0.0161,1.0,12864.48
136,True,15,979885.66,-0.0161,1.0,12864.48
137,True,15,979885.66,-0.0161,1.0,12864.48
138,True,15,979885.66,-0.0161,1.0,12864.48
139,True,42,971387.26,-0.0083,0.9762,36664.39
140,True,15,979885.66,-0.0161,1.0,12864.48
141,True,15,981269.1,-0.015,0.9333,12879.04
142,True,15,975730.86,-0.0195,0.9333,12817.13
143,True,15,979885.66,-0.0161,1.0,12864.48
144,True,15,978481.55,-0.0173,0.8667,12846.07
145,True,15,975730.86,-0.0195,0.9333,12817.13
146,True,15,979885.66,-0.0161,1.0,12864.48
147,True,15,975730.86,-0.0195,0.9333,12817.13
148,True,15,975730.86,-0.0195,0.9333,12817.13
149,True,15,979885.66,-0.0161,1.0,12864.48
150,True,15,979885.66,-0.0161,1.0,12864.48
151,True,15,981269.1,-0.015,0.9333,12879.04
152,True,15,975730.86,-0.0195,0.9333,12817.13
153,True,15,979885.66,-0.0161,1.0,12864.48
154,True,16,999452.7,-0.0004,0.9375,13712.61
155,True,15,979885.66,-0.0161,1.0,12864.48
156,True,15,979885.66,-0.0161,1.0,12864.48
157,True,15,979885.66,-0.0161,1.0,12864.48
158,True,16,998043.62,-0.0015,1.0,13696.88
