cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
485,False,72,2686554.08,0.1791,0.9861,110310.84
486,False,72,2686554.08,0.1791,0.9861,110310.84
487,False,72,2686554.08,0.1791,0.9861,110310.84
488,False,72,2744020.62,0.1832,0.9722,111129.74
489,False,72,2744020.62,0.1832,0.9722,111129.74
490,False,72,2686554.08,0.1791,0.9861,110310.84
491,False,72,2686554.08,0.1791,0.9861,110310.84
492,False,72,2760619.76,0.1844,0.9583,111386.55
493,False,72,2688925.81,0.1792,0.9583,110351.01
494,False,72,2686554.08,0.1791,0.9861,110310.84
495,False,72,2655023.07,0.1767,0.9861,109884.72
496,False,72,2686554.08,0.1791,0.9861,110310.84
497,False,72,2702805.58,0.1802,0.9722,110562.69
498,False,72,2744020.62,0.1832,0.9722,111129.74
499,False,72,2686554.08,0.1791,0.9861,110310.84
