cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
121,True,15,953754.9,-0.0372,1.0,13762.57
122,True,15,953754.9,-0.0372,1.0,13762.57
123,True,15,953754.9,-0.0372,1.0,13762.57
124,True,15,953754.9,-0.0372,1.0,13762.57
125,True,15,953754.9,-0.0372,1.0,13762.57
126,True,15,953754.9,-0.0372,1.0,13762.57
127,True,15,953754.9,-0.0372,1.0,13762.57
128,True,15,953754.9,-0.0372,1.0,13762.57
129,True,15,953754.9,-0.0372,1.0,13762.57
130,True,15,953754.9,-0.0372,1.0,13762.57
131,True,15,953754.9,-0.0372,1.0,13762.57
132,True,15,953754.9,-0.0372,1.0,13762.57
133,True,15,953754.9,-0.0372,1.0,13762.57
134,True,15,953754.9,-0.0372,1.0,13762.57
135,True,15,953754.9,-0.0372,1.0,13762.57
136,True,15,953754.9,-0.0372,1.0,13762.57
137,True,15,953754.9,-0.0372,1.0,13762.57
138,True,15,953754.9,-0.0372,1.0,13762.57
139,True,15,953754.9,-0.0372,1.0,13762.57
140,True,15,953754.9,-0.0372,1.0,13762.57
141,True,15,953754.9,-0.0372,1.0,13762.57
142,True,15,953754.9,-0.0372,1.0,13762.57
143,True,15,953754.9,-0.0372,1.0,13762.57
144,True,15,953754.9,-0.0372,1.0,13762.57
145,True,15,953754.9,-0.0372,1.0,13762.57
146,True,15,953754.9,-0.0372,1.0,13762.57
147,True,15,953754.9,-0.0372,1.0,13762.57
148,True,15,953754.9,-0.0372,1.0,13762.57
149,True,15,953754.9,-0.0372,1.0,13762.57
150,True,15,953754.9,-0.0372,1.0,13762.57
151,True,15,953754.9,-0.0372,1.0,13762.57
152,True,15,953754.9,-0.0372,1.0,13762.57
153,True,15,953754.9,-0.0372,1.0,13762.57
154,True,15,953754.9,-0.0372,1.0,13762.57
155,True,15,953754.9,-0.0372,1.0,13762.57
156,True,15,953754.9,-0.0372,1.0,13762.57
157,True,15,953754.9,-0.0372,1.0,13762.57
158,True,15,953754.9,-0.0372,1.0,13762.57
159,True,15,953754.9,-0.0372,1.0,13762.57
160,True,15,953754.9,-0.0372,1.0,13762.57
161,True,15,953754.9,-0.0372,1.0,13762.57
162,True,15,953754.9,-0.0372,1.0,13762.57
163,True,15,953754.9,-0.0372,1.0,13762.57
164,True,15,953754.9,-0.0372,1.0,13762.57
165,True,15,953754.9,-0.0372,1.0,13762.57
